country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98.9,98.9,99,99,99,99,99,99,99,99,99,98.9,98.8,98.8,98.8,98.8,98.8,99.2,99.2,99.2,99.2,99.3,99.6,98.8,98.5,98.3,98.4,99,99,99,99,98.9,98.8,98.8,98.8,98.8,99.1,98.9,98.7,98.6,98.8,98.8,98.8,98.9,98.9,98.9,98.9,98.5,98.2,98.1,98,98.3,98.2,98.6,98.9,99.3,99.3,99.2,99.2,99.1,99.1,99,98.7,98,97.7,97.6,97.4,97.3,97,97,96.8,96.8,96.7,96.8,96.6,97.5,97.4,97.3,97.3,97.1,97.1,96.9,96.3,95.9,95.8,95.6,95.5,95.5,95.3,95.3,95,95,94.8,94.8,94.8,95.2,95.5,96.2,96.2,95.9,96,95.7,95.7,95.4,95.5,95.2,94.8,95.1,94.9,94.6,94.6,94.3,94,93.7,93.3,93.3,93,92.1,91.7,91.2,90.8,90.9,90,90.6,89.5,88.9,88.6,88.4,88,88.4,88.5,88.2,88,87.2,87.3,87.3,86.6,87.4,90.8,90.9,90.4,90.1,89.2,90.6,89.7,90.1,90.1,87,83.9,80,80,80.8,78.3,82.3,84.1,86.5,86.2,87.9,88.5,94.8,97.6,93.3,94.1,94.5,95.2,95.5,95.8,96.6,94.1,93.8,93.8,92.9,92.5,90.4,89.8,85.5,84.6,85.3,82.8,81.9,82.8,82.8,82.8,82.8,83.8,83.8,84.9,89.2,90.3,90.8,91.2,91.2,90.8,90.8,90.3,89.9,90.2,91.4,90.8,90.8,90.2,89.6,89.6,89,88.4,88.4,87.7,87,87,86.2,86.2,85.7,85.1,85.2,84.8,84.1,84.4,83.7,82.8,82.8,81.8,80.9,80.9,79.9,78.8,78.8,77.6,76.5,76.5,75.3,74.1,72.9,72.9,71.6,70.3,70.3,69,67.7,66.1,66.1,64.8,63.3,62,62,60.6,59.2,57.9,56.6,56.6,55.3,54,52.6,51,51,49.6,47.9,46.3,44.5,44.3,42.8,41.3,39.8,38.2,36.5,35.1,34.8,33.3
Angola,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99,99,99,98.9,98.9,98.9,98.8,98.8,98.8,98.8,98.8,98.8,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.6,98.6,98.5,98.6,98.6,98.6,98.5,98.4,98.4,98.4,98.4,98.4,98.3,98.3,98.3,98.2,98.2,98.2,98.2,98.1,97.9,97.8,97.7,97.5,97.4,97.3,97.1,96.9,96.7,96.5,96,95.7,95.5,95.2,94.9,94.6,94.2,93.9,93.2,92.8,92.3,91.9,91.4,91,90.5,90,89,88.4,87.2,85.9,85.4,84.1,82.7,81.8,80.2,78.3,77.4,75.4,74.4,73.4,74.5,71.3,71.3,68,65.7,65.8,64.7,58.7,60,58.8,53.8,50.1,47.6,45.1,46.5,45.2,42.8,41.6,41.7,39.4,40.6,51.7,55.5,55.5,56.7,56.8,55.5,58.6,59.5,59.3,58.5,58.6,58.9,58.5,57.9,59,60.9,61.8,64.5,72.4,73,70.2,67.4,66.5,66.1,66.3,66.5,67.4,66.9,69,69.2,68,67.3,67.7,66.6,69.6,70.3,70.6,70.7,70.8,70.5,68.8,72.3,74.6,77.3,78.4,80.4,80.7,80.8,81.3,81.4,80.9,80.9,80.9,80,79.1,80,79.1,78.1,78.1,77.2,76.2,75.2,74.2,73.1,72,72,70.9,69.8,68.7,67.6,66.4,65.3,64.1,64.1,62.9,61.7,60.5,59.3,58,56.8,55.5,55.4,54.1,52.8,51.4,50.1,48.8,47.5,47.4,46,44.7,43.4,42.1,40.7,39.5,39.4,38.1,36.8,35.5,34.2,33,32.9,31.7,30.6,29.3,28.2,28.1,27,25.8,24.9,23.9,23.8,22.8,21.8,20.9,20.7,19.8,18.8,17.8,17.7,16.9,16.1,16,15.2,14.4,14.3
Albania,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99.4,99.7,99.5,99.5,99.4,99.4,99.4,99.4,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.3,99.3,99.3,99.2,99.2,99.2,99.1,99,99,98.9,98.9,98.8,98.8,98.7,98.7,98.6,98.5,98.4,98.3,98.2,98,97.9,97.4,97.2,96.9,96.6,96.2,95.8,94.9,94.3,93.8,93.8,93.8,93.2,91.9,90.3,90.4,88.7,86.7,84.3,81.5,81.5,80,76.6,74.9,73.1,69.5,67.7,65.9,62.4,60.5,58.6,56.6,52.3,52.3,50,49.9,47.6,47.6,45.3,45.1,44,43.4,43.9,46,46.4,42.7,44.9,47,44,50,64.7,67.6,63.2,59.8,53.1,48.1,56.8,55.2,49.4,50.6,51.4,51,46.5,43.7,39.9,38.5,36,34.2,34.4,35.6,35,36.5,37.9,38.4,24.2,24.3,25.6,18.4,15.3,14.3,11.7,10.3,9.64,9.09,8.21,7,6.46,5.94,5.45,5.91,5.42,4.95,4.92,4.5,4.11,3.74,3.4,3.41,3.12,2.85,2.59,2.62,2.38,2.15,1.93,1.96,1.79,1.63,1.63,1.46,1.33,1.33,1.2,1.13,1.16,1.11,1.07,1.14,1.04,0.96,0.98,0.91,0.92,0.85,0.79,0.8,0.81,0.82,0.77,0.77,0.75,0.71,0.72,0.69,0.7,0.67,0.74,0.77,0.78,0.75,0.76,0.77,0.75,0.76,0.73,0.74,0.78,0.79,0.77,0.8,0.81,0.79,0.8,0.78,0.79,0.8,0.78,0.79,0.8,0.77
UAE,88,87.2,87.2,87.2,87.2,87.2,87.3,87.3,87.3,86.5,86.5,86.5,86.5,86.5,86.5,86.5,85.7,85.7,85.7,85.7,85.7,85.8,85.8,84.9,85,85.1,85.1,85.1,85.2,85.2,85.2,84.3,84.3,84.4,84.4,84.4,84.4,84.5,83.7,83.7,83.7,83.6,83.6,83.7,83.7,83.7,82.8,82.8,82.8,82.9,82.9,82.9,82.9,82,81.9,81.9,82,82,82,82,82,81,81,81.1,81,81,81,81,80.1,80,80.1,80,78.9,78.8,77.6,77.4,76.1,76,74.7,73.4,73.4,72,71.9,70.5,70.2,68.9,68.9,67.5,67.4,66,66,64.4,64.4,63,62.7,60.8,60.6,59.1,58.7,57,55.4,55.2,53.6,53.6,51.4,51.1,49.6,49.5,47.8,47.9,46.4,46.5,44.7,44.3,45.8,48.7,52,55,58,54.7,51.5,48.1,45.2,45,46.1,46.1,47.5,47.3,48.7,53.4,58.2,61,65.2,69.5,73.7,73.7,75,74.9,76.2,76.1,77.3,77.3,75.9,75.8,75.7,74.3,72.8,71.2,69.6,68,66.4,64.8,63.1,61.5,59.8,58.2,56.5,54.8,46.9,39.6,33.9,28.2,22.6,13.9,3.55,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.22,0.33,0.37,0.4,0.29,0.47,0.42,0.34,0.32,0.28,0.23,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Argentina,91.1,90.5,90.5,90.6,90.6,90.6,90.6,90.6,90.6,90,90,90,90,90,90,90,90,89.4,89.4,89.4,89.4,89.4,88.7,88.8,88.7,88.7,88,87.9,87.9,87.9,87.1,87.1,87.2,86.8,86.4,86.4,86.4,85.6,85.6,85.6,85.7,84.9,85,85.1,85,84.2,85.1,85.1,84.2,84.2,84.2,83.7,82.4,82,81.9,80.9,80.3,80.3,80.8,79.8,80.1,81.2,80.3,80.3,80.7,81.8,80.7,80.2,79.8,78.1,77.8,76.7,76.5,75.2,74.2,73,73,69.3,73.7,73.2,75.7,76.2,68.8,65.2,63.7,57.7,57.3,55.7,51.1,49.6,55.3,58.1,50.9,47.8,42.5,38.4,35.9,48.5,46.7,39.6,48.5,48.5,51,44.3,41.8,37.4,37.1,36.9,33.2,32.5,31,31.2,28.7,30.9,39.3,40.8,41.3,46.8,39.8,39.8,36.9,37.2,34.3,31.5,28.9,30.9,29.5,28.3,25.8,25.9,28.1,32.9,35.3,34,30.2,29,30.1,27.9,28.2,28.4,27.1,24,23,23.3,19.9,21.1,19.3,17.2,17.5,18.7,19.3,18.5,20,18.5,17.8,16,16,15.5,14.1,16.1,13.9,12.5,13.2,14.8,12.6,10.7,10.6,10.6,9.39,8.33,7.83,7.37,6.92,6.5,5.68,6.13,6.6,5.77,6.69,5.81,5.82,6.93,6.64,5.76,5.28,5.87,4.59,9.04,10.6,14.2,17.1,14.2,16.2,16.7,16.8,20.3,22.3,20.8,22.6,24,27.5,30.8,44.1,29.6,25.6,21.5,17.3,16.1,14.6,13.3,12,9.74,9.14,9.01,10.2,9.58,9.9,8.66,11.1,12.8,16,12.5,11.9,12.2,13.8,12.8,12.1,11.4,10.8,10.1,10.8,9.93,9.31,8.74,8.72,8.17,7.65,7.64,7.13,6.67,6.23,6.24,5.8,5.42,5.41,5.05,4.68,4.67,4.35,4.34,4.05,3.77,3.76,3.5,3.5,3.22,3,2.99,2.78,2.77,2.58,2.57,2.39,2.38,2.22,2.22,2.06,2.06,1.92,1.86,1.74,1.73,1.61,1.6,1.49,1.48,1.38,1.37,1.36,1.23,1.22,1.13,1.13,1.12,1.04,1.03,0.96,0.95,0.95,0.88,0.87,0.87,0.8,0.8,0.79,0.74,0.73,0.73,0.72,0.67,0.66
Armenia,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98.9,98.9,98.9,98.9,98.8,98.8,98.8,98.8,98.7,98.7,98.8,98.7,98.7,98.7,98.6,98.6,98.6,98.5,98.5,98.5,98.5,98.5,98.5,98.6,98.5,98.8,98.9,98.8,98.8,99.1,99.1,98,98,97.7,98.3,98.4,98.3,98.2,98.4,98.7,98.6,97.2,98.7,98.7,98.8,98.8,98.7,98.7,98.7,98.6,98.5,98.3,96.7,98.1,98.1,97.9,97.4,97.5,97.5,97.5,97.3,96.4,96.5,95.5,96.5,97.7,97.9,98.3,97.6,96.5,95.5,96.5,95.4,95.7,95.4,94.4,94.7,94.3,93.1,93.8,92.6,93.1,93.6,93.9,93.2,92.4,91.7,92.8,91.7,90.9,91.3,90.9,91.4,93.9,95.5,96.9,97.1,97.4,96.9,96.4,95.8,95.2,94.4,93.5,92.1,90.8,90.3,89.9,90.4,89.4,87.7,84.4,82.9,80.5,80.5,78.8,80.6,81.4,82.3,83.1,83.8,83.9,84.6,81.5,77,73.9,70.4,71.6,69.1,67.8,66.5,63.8,59.6,59.6,56.7,58.1,53.7,52.2,52.2,55.2,49.3,47.8,46.3,44.8,41.9,41.9,39,39,40.4,37.6,37.6,39,40.4,40.3,41.8,43.2,43.2,44,42.6,42.4,40.7,39.2,39.6,42.6,45.4,39,43.4,50.9,76.4,78.6,75.6,72.2,69.4,67.5,83,81.9,82.3,82.9,82,81.9,73.5,66.6,63,55.8,52,60.8,60.9,59,55.3,52.4,51.6,45.1,42.1,48.5,47.4,51.7,52.8,51.8,50.6,46.4,43.8,39,35.1,33.3,29.6,27.9,28.1,26,25.7,23.6,22,20.4,20.4,18.9,17.5,17.7,16.5,15.2,15.3,14.2,13.1,12.1,12.1,11.4,11.5,10.7,9.89,10.1,9.18,8.55,8.77,8.22,8.56,7.87,7.26,7.49,6.92,6.99,6.48,6.57,6.07,6.24,5.73,5.79,5.19,5.25,4.72,5,4.68,4.75,4.29,4.34,3.89,3.94,3.49,3.36,3.11,3.05,3.12,2.77,2.63,2.39,2.3,2.01,1.84,1.86,1.88,1.73,1.74,1.92,1.76,1.78,1.68,1.54,1.56,1.58,1.44
Antigua and Barbuda,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99,99,99,99,99,99,99,99,99,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.8,98.8,98.8,98.8,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.7,98.6,98.6,98.6,98.6,98.5,98.5,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.3,98.3,98.3,98.3,98.2,98.3,98.2,98.2,98.1,98.2,98.2,98.2,98,98,98,98.1,98,98,98,98,97.9,97.9,97.9,97.9,97.8,97.6,97.5,97.4,97.2,97.1,97.1,96.9,96.8,96.6,96.4,96.2,96,95.8,95.8,95.6,95.3,95.1,94.8,94.5,94.2,93.9,93.9,93.6,93.3,92.9,92.6,92.3,92.5,92.2,91.8,91.5,91.6,91.2,90.8,90.9,90.3,89.8,89.1,89.2,88.5,87.9,87.1,87.2,86.4,85.5,85.5,83.5,82.4,81.2,80.1,78.8,77.5,76,74.5,72.9,71.3,67.7,61.8,57.3,55.2,59.7,65.7,61.8,59.7,50.7,46,42.2,40.1,36.1,28.5,24.9,21.9,21.5,18.8,19.7,19.3,19.3,19.3,18.3,17.4,19.3,17.3,16.5,16.8,15.7,13.2,16.8,16.4,14.7,13.3,11.6,6.87,4.18,4.18,11.8,14,15.7,14.7,15.7,14.7,14.8,12.6,12.7,10.4,8.59,17.3,14.8,11.6,10.4,7.99,7.41,6.88,6.37,4.98,4.18,5.44,4.54,4.19,3.88,3.95,3.63,3.36,3.08,3.08,2.83,2.58,2.03,1.85,1.91,1.91,1.74,1.26,1.3,1.2,1.12,1.12,1.01,0.89,0.82,0.82,0.63,0.47,0.43,0.38,0.35,0.31,0.31,0.26,0.25,0.21,0.21,0.18,0.18,0.16,0.17,0.14,0.15,0.12,0.12,0.1,0.1,0.11,0.09,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Australia,98.7,98.6,98.6,98.6,98.6,98.5,98.5,98.5,98.5,98.5,98.4,98.4,98.4,98.4,98.4,98.3,98.3,98.3,98.3,98.3,98.1,98.1,97.9,97.8,97.5,97.2,97.2,96.8,96.8,96.4,95,94.5,94.5,94.5,94,91.5,91.5,91.1,91.1,92.3,87.9,91.1,92.3,90.2,87.2,86.3,85.4,79.9,75.4,76.3,78.5,73,66.5,63.2,68.8,71,62.1,67,73.8,62.9,60.1,61.4,62.7,64.4,60.5,63.8,62.7,58.9,57.5,59,56.1,56,51,46.3,45.9,42.7,43.9,40.6,37,42.9,41.9,40.3,46,42.2,42.6,38.2,36,31.3,32.6,30.6,33.9,30.6,39.1,42.2,41.9,47.3,43.6,47.1,40,39.9,38.6,40.1,40.4,37,33.6,33.4,30.2,29.9,28.3,25.2,22.4,23.5,23.1,22.8,22.2,22.8,23.4,23.3,25.6,23.9,22.5,20.9,19.4,18.1,16.6,14.9,14.4,14,15.2,16.4,21.5,26.7,25.5,23.3,22.5,22.6,21.5,19.4,16.2,14.8,16.8,14.7,10.7,10.3,11.8,13.2,11.2,9.15,8.6,7.13,7,7.02,7.59,7.17,6.25,5.61,5.6,5.6,5.21,4.83,4.46,4.76,4.13,3.98,3.56,3.28,3.24,3.19,2.84,2.55,2.32,2.21,2.2,2.13,2.06,2.08,2.02,2.03,1.99,1.93,1.94,1.91,1.88,1.97,2.01,1.97,1.99,1.83,2.02,2.04,2.01,2.02,2,2,1.54,1.43,1.51,1.85,1.77,1.71,1.25,1.14,1.71,1.33,1.19,1.08,0.97,0.87,0.82,0.9,0.95,0.93,0.95,0.93,0.94,0.94,0.97,0.99,1.04,1.06,1.07,1.05,1.06,1.03,1.03,0.98,0.95,0.95,0.91,0.91,0.91,0.9,0.9,0.87,0.87,0.84,0.83,0.83,0.8,0.8,0.8,0.77,0.77,0.77,0.75,0.74,0.74,0.72,0.71,0.71,0.71,0.69,0.69,0.68,0.67,0.66,0.66,0.66,0.64,0.64,0.63,0.63,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45
Austria,92.1,92.2,92.2,92.2,92.2,92.2,91.8,91.8,91.8,91.8,91.8,91.8,91.3,91.4,91.4,91,91.1,91.2,91,91.2,92.1,91.6,91.6,91.1,91.1,90.7,90.7,90,90.1,89.7,89.7,88.8,88.2,88.5,87.8,87.7,87.3,85.8,85.7,86.1,85.2,84.4,84.3,84.2,84,84.8,85,84.7,85,85.2,85.4,85,85.1,85.1,84.2,84.2,84.2,84.2,83.3,83.3,83.3,83.3,83.3,82.3,82.3,82.3,82.3,82.3,82.3,81.3,81.3,79.2,79.1,80.1,79,78.9,78.9,77.8,76.5,76.5,76.4,75.1,75,73.6,72,73.3,71.7,68.5,68.3,69.7,66.7,65.1,65.1,65,63.5,61.9,61.8,60.1,58.3,56.5,56.5,58.1,56.3,56.2,56.2,52.5,50.7,47.1,47,48.7,48.6,46.7,42.9,44.6,57.3,60.5,62.1,62,63.6,69.8,66.6,60.1,56.5,56.5,49.3,45.5,43.6,41.5,39.4,37.4,41.1,47,54.1,55.8,55.8,53.9,52,48.3,40.3,31.3,32.9,29.4,32.6,30.8,29,81.9,76.6,70.4,54.9,41.3,33.8,31.1,29.3,26.9,20.1,15.7,13.6,11.8,11.4,10.6,8.78,7.7,7.2,6.89,6.12,5.7,4.99,4.6,4.2,3.7,3.12,2.77,2.45,2.27,1.97,1.98,1.82,1.65,1.64,1.48,1.48,1.52,1.48,1.35,1.41,1.36,1.29,1.21,1.19,1.15,1.07,1.05,1.01,1.02,0.96,0.9,0.48,0.75,1.03,0.53,0.59,0.58,0.64,0.68,0.42,0.52,0.46,0.81,1.05,0.73,0.86,1.13,1.14,0.68,0.76,0.62,0.91,0.71,0.68,0.9,1.13,1.07,1.01,1.02,1.03,0.98,0.98,0.93,0.91,0.83,0.87,0.86,0.82,0.81,0.81,0.77,0.77,0.76,0.73,0.72,0.72,0.69,0.68,0.68,0.67,0.64,0.64,0.64,0.63,0.61,0.6,0.6,0.6,0.57,0.57,0.57,0.56,0.54,0.54,0.53,0.53,0.53,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35
Azerbaijan,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.4,98.3,98.3,98.3,98.3,98.3,98.2,98.2,98.2,98.2,98.2,98.1,98.1,98.1,98.1,98.1,98.1,98,98,98,98,98,98,98,98,98,98,97.9,97.9,97.9,97.9,97.9,97.8,97.8,97.8,97.8,97.8,97.7,97.7,97.7,97.7,97.7,97.6,97.6,97.6,97.6,97.6,97.5,97.5,97.5,97.5,97.5,97.4,97.4,97.5,97.5,97.6,97.6,97.6,97.7,97.8,98.1,98.2,98.6,99,98.5,98.6,98.8,98.9,99.1,99,98.7,98.2,98.7,98.3,98.6,98.5,98.3,98.3,98.2,97.7,98.2,97.4,98.3,98.4,98.7,98.1,97.8,97.2,97.4,96.6,96.1,96.5,96.5,97.5,98.3,99.6,99.7,99.7,99.8,99.7,99.6,99.3,98.7,98.2,97.9,97.5,97.5,97,97,96.9,96.7,96.1,94.7,94,92.8,92.8,91.9,92.7,93.1,93.2,93.6,94,94,94.4,92.8,90.2,88.2,85.6,85.5,84.6,83.6,81.5,79.1,75.2,75.3,72.4,73.8,69.4,67.9,66.3,69.4,63.1,59.8,57.8,56,52.5,52.4,47,47,46.9,41.4,41.4,41.4,41.3,41.3,41.3,41.3,41.2,38.5,36.2,35.6,33.5,32.5,32.3,30.6,28.4,32.9,38.2,39.3,52,62.7,73.2,77,76.9,77,75.1,74.8,71.6,70.2,47.7,44.1,42.3,31.1,13.3,5.47,3.8,2.73,2.23,2.42,2.28,1.81,1.67,1.67,2.15,2.22,2.16,2,2.47,2,1.59,1.48,1.32,1.38,1.16,1.22,1.04,1.09,1.14,0.97,0.83,0.86,0.74,0.64,0.56,0.47,0.49,0.44,0.39,0.34,0.31,0.32,0.29,0.26,0.24,0.25,0.22,0.2,0.19,0.19,0.18,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.08,0.09,0.08,0.09,0.08,0.1,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.08,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.07
